x,y
2.2729375,3.1370707
2.780502,3.0597048
2.3559868,3.9437282
2.839483,4.1311584
2.0742724,4.494934
1.1148047,4.5127482
3.67534,-3.9995534
4.7909985,-3.2206442
3.2740808,-3.1239216
4.7995896,-4.2688
3.0958757,-4.7160125
4.2300186,-3.1779459
3.1396148,-4.2648807
3.92628,-4.5554886
3.5440614,-4.339876
4.405534,-4.293204
3.2171786,-3.881558
3.6178336,-3.4316943
3.8497934,-3.2037642
3.9084404,-4.164866
4.272938,-4.8629293
4.7805023,-4.940295
4.3559866,-4.0562716
4.839483,-3.8688416
4.0742726,-3.505066
3.1148047,-3.4872518
3.67534,-1.9995536
4.7909985,-1.2206442
3.2740808,-1.1239216
4.7995896,-2.2687995
3.0958757,-2.7160125
4.2300186,-1.1779459
3.1396148,-2.2648807
3.92628,-2.5554883
3.5440614,-2.3398762
4.405534,-2.2932036
3.2171786,-1.881558
3.6178336,-1.4316943
3.8497934,-1.2037642
3.9084404,-2.164866
4.272938,-2.8629293
4.7805023,-2.9402952
4.3559866,-2.0562718
4.839483,-1.8688416
4.0742726,-1.5050659
3.1148047,-1.4872518
3.67534,0.00044645325
4.7909985,0.7793557
3.2740808,0.8760783
4.7995896,-0.26879963
3.0958757,-0.7160124
4.2300186,0.82205415
3.1396148,-0.26488054
3.92628,-0.55548835
3.5440614,-0.33987606
4.405534,-0.29320365
3.2171786,0.11844205
3.6178336,0.5683058
3.8497934,0.79623586
3.9084404,-0.16486588
4.272938,-0.8629294
4.7805023,-0.94029516
4.3559866,-0.056271728
4.839483,0.13115832
4.0742726,0.49493402
3.1148047,0.5127482
3.67534,2.0004466
4.7909985,2.7793558
3.2740808,2.8760784
4.7995896,1.7312003
3.0958757,1.2839875
4.2300186,2.8220541
3.1396148,1.7351195
3.92628,1.4445117
3.5440614,1.660124
4.405534,1.7067964
3.2171786,2.118442
3.6178336,2.5683057
3.8497934,2.7962358
3.9084404,1.8351341
4.272938,1.1370707
4.7805023,1.0597048
4.3559866,1.9437283
4.839483,2.1311584
4.0742726,2.494934
3.1148047,2.5127482
3.67534,4.0004463
4.7909985,4.7793555
3.2740808,4.876078
4.7995896,3.7312005
3.0958757,3.2839875
4.2300186,4.822054
3.1396148,3.7351193
3.92628,3.4445117
3.5440614,3.6601238
4.405534,3.7067964
3.2171786,4.118442
3.6178336,4.568306
3.8497934,4.796236
3.9084404,3.835134
4.272938,3.1370707
4.7805023,3.0597048
4.3559866,3.9437282
4.839483,4.1311584
4.0742726,4.494934
3.1148047,4.5127482
