x,y
-1.2852457,3.493856
-2.4085736,3.6943412
-1.9462523,3.7411945
-1.6348591,4.3540277
-2.014425,4.138828
-0.61838603,-3.6125877
1.0043708,-2.5930285
-1.5225078,-3.0099964
1.3712531,-5.28473
-0.7412013,-4.7446613
0.7600942,-2.6006205
-1.2900054,-4.0659637
-0.28424713,-4.8042035
-0.8424962,-3.7618756
1.1173978,-4.2917123
0.052338522,-4.053195
-1.0887246,-3.3769803
-0.25636142,-3.6133006
-0.4018698,-3.957292
0.9424811,-5.0147533
0.71475434,-4.506144
-0.40857357,-4.305659
0.053747676,-4.2588053
0.36514094,-3.645972
-0.014425106,-3.861172
-0.61838603,-1.6125878
1.0043708,-0.59302855
-1.5225078,-1.0099964
1.3712531,-3.2847302
-0.7412013,-2.7446613
0.7600942,-0.6006205
-1.2900054,-2.0659637
-0.28424713,-2.8042035
-0.8424962,-1.7618757
1.1173978,-2.2917123
0.052338522,-2.0531952
-1.0887246,-1.3769803
-0.25636142,-1.6133006
-0.4018698,-1.957292
0.9424811,-3.0147536
0.71475434,-2.506144
-0.40857357,-2.3056588
0.053747676,-2.2588055
0.36514094,-1.645972
-0.014425106,-1.861172
-0.61838603,2.3874123
1.0043708,3.4069715
-1.5225078,2.9900036
1.3712531,0.7152698
-0.7412013,1.2553387
0.7600942,3.3993795
-1.2900054,1.9340364
-0.28424713,1.1957965
-0.8424962,2.2381244
1.1173978,1.7082877
0.052338522,1.9468048
-1.0887246,2.6230197
-0.25636142,2.3866994
-0.4018698,2.042708
0.9424811,0.9852464
0.71475434,1.4938561
-0.40857357,1.6943412
0.053747676,1.7411945
0.36514094,2.354028
-0.014425106,2.138828
-0.61838603,4.387412
1.0043708,5.4069715
-1.5225078,4.9900036
1.3712531,2.7152698
-0.7412013,3.2553387
0.7600942,5.3993797
-1.2900054,3.9340363
-0.28424713,3.1957965
-0.8424962,4.2381244
1.1173978,3.7082877
0.052338522,3.9468048
-1.0887246,4.6230197
-0.25636142,4.3866997
-0.4018698,4.042708
0.9424811,2.9852464
0.71475434,3.493856
-0.40857357,3.6943412
0.053747676,3.7411945
0.36514094,4.3540277
-0.014425106,4.138828
1.381614,-3.6125877
3.0043707,-2.5930285
0.4774922,-3.0099964
3.371253,-5.28473
1.2587987,-4.7446613
2.7600942,-2.6006205
0.70999455,-4.0659637
1.7157528,-4.8042035
1.1575038,-3.7618756
3.1173978,-4.2917123
2.0523386,-4.053195
0.9112754,-3.3769803
1.7436385,-3.6133006
1.5981302,-3.957292
2.942481,-5.0147533
2.7147543,-4.506144
1.5914264,-4.305659
2.0537477,-4.2588053
2.365141,-3.645972
1.9855748,-3.861172
1.381614,-1.6125878
3.0043707,-0.59302855
0.4774922,-1.0099964
3.371253,-3.2847302
1.2587987,-2.7446613
2.7600942,-0.6006205
0.70999455,-2.0659637
1.7157528,-2.8042035
1.1575038,-1.7618757
3.1173978,-2.2917123
2.0523386,-2.0531952
0.9112754,-1.3769803
1.7436385,-1.6133006
1.5981302,-1.957292
2.942481,-3.0147536
2.7147543,-2.506144
1.5914264,-2.3056588
2.0537477,-2.2588055
2.365141,-1.645972
1.9855748,-1.861172
1.381614,0.38741222
3.0043707,1.4069715
0.4774922,0.99000365
3.371253,-1.2847302
1.2587987,-0.7446614
2.7600942,1.3993795
0.70999455,-0.06596367
1.7157528,-0.80420357
1.1575038,0.23812427
3.1173978,-0.29171234
2.0523386,-0.053195182
0.9112754,0.62301964
1.7436385,0.38669944
1.5981302,0.042708017
2.942481,-1.0147536
2.7147543,-0.5061439
1.5914264,-0.30565888
2.0537477,-0.25880545
2.365141,0.35402796
1.9855748,0.13882801
1.381614,2.3874123
3.0043707,3.4069715
0.4774922,2.9900036
3.371253,0.7152698
1.2587987,1.2553387
2.7600942,3.3993795
0.70999455,1.9340364
1.7157528,1.1957965
1.1575038,2.2381244
3.1173978,1.7082877
2.0523386,1.9468048
0.9112754,2.6230197
1.7436385,2.3866994
1.5981302,2.042708
2.942481,0.9852464
2.7147543,1.4938561
1.5914264,1.6943412
2.0537477,1.7411945
2.365141,2.354028
1.9855748,2.138828
1.381614,4.387412
3.0043707,5.4069715
0.4774922,4.9900036
3.371253,2.7152698
1.2587987,3.2553387
2.7600942,5.3993797
0.70999455,3.9340363
1.7157528,3.1957965
1.1575038,4.2381244
3.1173978,3.7082877
2.0523386,3.9468048
0.9112754,4.6230197
1.7436385,4.3866997
1.5981302,4.042708
2.942481,2.9852464
2.7147543,3.493856
1.5914264,3.6943412
2.0537477,3.7411945
2.365141,4.3540277
1.9855748,4.138828
3.381614,-3.6125877
5.0043707,-2.5930285
2.4774923,-3.0099964
5.371253,-5.28473
3.2587986,-4.7446613
4.760094,-2.6006205
2.7099946,-4.0659637
3.7157528,-4.8042035
3.1575038,-3.7618756
5.117398,-4.2917123
4.0523386,-4.053195
2.9112754,-3.3769803
3.7436385,-3.6133006
3.5981302,-3.957292
4.942481,-5.0147533
4.714754,-4.506144
3.5914264,-4.305659
4.0537477,-4.2588053
4.365141,-3.645972
3.985575,-3.861172
3.381614,-1.6125878
5.0043707,-0.59302855
2.4774923,-1.0099964
5.371253,-3.2847302
3.2587986,-2.7446613
4.760094,-0.6006205
2.7099946,-2.0659637
3.7157528,-2.8042035
3.1575038,-1.7618757
5.117398,-2.2917123
4.0523386,-2.0531952
2.9112754,-1.3769803
3.7436385,-1.6133006
3.5981302,-1.957292
4.942481,-3.0147536
4.714754,-2.506144
3.5914264,-2.3056588
4.0537477,-2.2588055
4.365141,-1.645972
3.985575,-1.861172
3.381614,0.38741222
5.0043707,1.4069715
2.4774923,0.99000365
5.371253,-1.2847302
3.2587986,-0.7446614
4.760094,1.3993795
2.7099946,-0.06596367
3.7157528,-0.80420357
3.1575038,0.23812427
5.117398,-0.29171234
4.0523386,-0.053195182
2.9112754,0.62301964
3.7436385,0.38669944
3.5981302,0.042708017
4.942481,-1.0147536
4.714754,-0.5061439
3.5914264,-0.30565888
4.0537477,-0.25880545
4.365141,0.35402796
3.985575,0.13882801
3.381614,2.3874123
5.0043707,3.4069715
2.4774923,2.9900036
5.371253,0.7152698
3.2587986,1.2553387
4.760094,3.3993795
2.7099946,1.9340364
3.7157528,1.1957965
3.1575038,2.2381244
5.117398,1.7082877
4.0523386,1.9468048
2.9112754,2.6230197
